kafka3-1  | [2026-03-17 04:56:40,171] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Member 94c04124-32c6-49bd-893c-3ee9cdc3bae3 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,171] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Bumped group epoch to 13 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,171] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Member b3e2bb7f-af5f-4844-963a-76b474718278 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,171] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Bumped group epoch to 14 with metadata hash 0. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,176] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=34] [GroupId 2B50_SimulatorGroup1] Member d5a9ed81-e4f7-4b43-a881-7f684abeeee0 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,178] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=34] [GroupId 2B50_SimulatorGroup1] Bumped group epoch to 6 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,183] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Member b52b5001-f9a0-4897-a506-3a6fd8288bb2 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,183] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Bumped group epoch to 14 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,258] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Member 9cc8e2cd-651c-494d-b725-c38dfc346bd9 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,258] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Bumped group epoch to 7 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,266] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=34] [GroupId 2B50_SimulatorGroup1] Member 548c001a-8212-4755-84e1-88d019efc249 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,267] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=34] [GroupId 2B50_SimulatorGroup1] Bumped group epoch to 7 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,416] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Member 00696e8f-e6bd-429b-b2a7-4a054d6d0e3d left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,416] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=41] [GroupId A7C1_SimulatorGroup5] Bumped group epoch to 8 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,420] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=34] [GroupId 2B50_SimulatorGroup1] Computed a new target assignment for epoch 7 with 'uniform' assignor in 0ms. (org.apache.kafka.coordinator.group.GroupMetadataManager)
