kafka2-1  | [2026-03-17 05:57:46,513] INFO Deleted log /tmp/kafka-logs/32BB002EFC2CF4175F463EFD884F9B7D530B09DA3947DEFEAD5BB514838A-1/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,513] INFO Deleted offset index /tmp/kafka-logs/32BB002EFC2CF4175F463EFD884F9B7D530B09DA3947DEFEAD5BB514838A-1/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,513] INFO Deleted time index /tmp/kafka-logs/32BB002EFC2CF4175F463EFD884F9B7D530B09DA3947DEFEAD5BB514838A-1/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,515] INFO [LocalLog partition=F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-10, dir=/tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-10] Deleting segment files LogSegment(baseOffset=0, size=36764, lastModifiedTime=1773723400399, largestRecordTimestamp=1773723398623) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,515] INFO Deleted log /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-10/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,515] INFO Deleted offset index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-10/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,515] INFO Deleted time index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-10/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,517] INFO [LocalLog partition=DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-0, dir=/tmp/kafka-logs/DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-0] Deleting segment files LogSegment(baseOffset=0, size=68132, lastModifiedTime=1773723399234, largestRecordTimestamp=1773723398862) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,517] INFO Deleted log /tmp/kafka-logs/DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-0/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,518] INFO Deleted offset index /tmp/kafka-logs/DEF41875DCA9A039247452937F37649A8E081B090AA4EA00820A6E695EEC-0/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
