kafka1-1  | [2026-03-17 17:16:29,808] INFO Created log for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-5 in /tmp/kafka-logs/7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-5 with properties {} (kafka.log.LogManager)
kafka1-1  | [2026-03-17 17:16:29,808] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-5 broker=2] No checkpointed highwatermark is found for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-5 (kafka.cluster.Partition)
kafka1-1  | [2026-03-17 17:16:29,808] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-5 broker=2] Log loaded for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-5 with initial high watermark 0 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,808] INFO [Partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-1 broker=4] No checkpointed highwatermark is found for partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-1 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,808] INFO [Partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-1 broker=4] Log loaded for partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-1 with initial high watermark 0 (kafka.cluster.Partition)
kafka2-1  | [2026-03-17 17:16:29,810] INFO [LogLoader partition=1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-7, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 17:16:29,810] INFO Created log for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-7 in /tmp/kafka-logs/1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-7 with properties {} (kafka.log.LogManager)
kafka2-1  | [2026-03-17 17:16:29,811] INFO [Partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-7 broker=3] No checkpointed highwatermark is found for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-7 (kafka.cluster.Partition)
kafka2-1  | [2026-03-17 17:16:29,811] INFO [Partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-7 broker=3] Log loaded for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-7 with initial high watermark 0 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,813] INFO [LogLoader partition=1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-2, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 17:16:29,813] INFO Created log for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-2 in /tmp/kafka-logs/1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-2 with properties {} (kafka.log.LogManager)
kafka3-1  | [2026-03-17 17:16:29,814] INFO [Partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-2 broker=4] No checkpointed highwatermark is found for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-2 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,814] INFO [Partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-2 broker=4] Log loaded for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-2 with initial high watermark 0 (kafka.cluster.Partition)
kafka1-1  | [2026-03-17 17:16:29,814] INFO [LogLoader partition=29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-0, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka1-1  | [2026-03-17 17:16:29,814] INFO Created log for partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-0 in /tmp/kafka-logs/29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-0 with properties {} (kafka.log.LogManager)
kafka1-1  | [2026-03-17 17:16:29,814] INFO [Partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-0 broker=2] No checkpointed highwatermark is found for partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-0 (kafka.cluster.Partition)
kafka1-1  | [2026-03-17 17:16:29,814] INFO [Partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-0 broker=2] Log loaded for partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-0 with initial high watermark 0 (kafka.cluster.Partition)
kafka2-1  | [2026-03-17 17:16:29,817] INFO [LogLoader partition=29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-1, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 17:16:29,817] INFO Created log for partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-1 in /tmp/kafka-logs/29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-1 with properties {} (kafka.log.LogManager)
kafka2-1  | [2026-03-17 17:16:29,817] INFO [Partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-1 broker=3] No checkpointed highwatermark is found for partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-1 (kafka.cluster.Partition)
kafka2-1  | [2026-03-17 17:16:29,817] INFO [Partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-1 broker=3] Log loaded for partition 29110F40E5E700443429C5568DF3A867AC19F569E6FBD133F28EFC9EA3E4-1 with initial high watermark 0 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,819] INFO [LogLoader partition=1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-4, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 17:16:29,819] INFO Created log for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-4 in /tmp/kafka-logs/1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-4 with properties {} (kafka.log.LogManager)
kafka3-1  | [2026-03-17 17:16:29,819] INFO [Partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-4 broker=4] No checkpointed highwatermark is found for partition 1DE98804A7482AC5003B243D7CD55777E308C7ACE2F4241E725F7FC4D374-4 (kafka.cluster.Partition)
